"Front","Back"
"What is Python? (Ch1)","A high-level programming language focused on readability, with a large standard library and interactive shell support."
"What does the interactive shell (REPL) allow you to do? (Ch1)","Run Python instructions one at a time and immediately see results (Read-Evaluate-Print-Loop)."
"An expression always evaluates down to what? (Ch1)","A single value"
"Give examples of values in Python (Ch1)","Numbers (e.g. 2, 3.14), text ('hello'), True/False"
"Which operators are used for: addition, subtraction, multiplication, division, exponentiation? (Ch1)","+  -  *  /  **"
"What does the % operator do? Give example. (Ch1)","Modulus — remainder of division; 14 % 4 → 2"
"What does // do? Example? (Ch1)","Integer (floor) division — rounds down; 25 // 8 → 3"
"Order of operations: which has highest precedence? (Ch1)","Exponentiation **, then * / // %, then + - (parentheses override)"
"Name the three main data types introduced in Ch1","Integer (int), floating-point (float), string (str)"
"How do you write a string in Python? (Ch1)","Surrounded by single or double quotes: 'hello' or \"hello\""
"What happens when you use + with two strings? (Ch1)","String concatenation: 'Hello' + 'World' → 'HelloWorld'"
"What does * do with a string and integer? Example? (Ch1)","String replication: 'Hi' * 3 → 'HiHiHi'"
"How do you create (assign) a variable? (Ch1)","spam = 42   (variable name = value)"
"Variable names cannot start with what? (Ch1)","A number; also cannot be Python keywords; no spaces; case-sensitive"
"What does the print() function do? (Ch1)","Displays the value/expression inside the parentheses (without showing quotes for strings)"
"What does input() return? (Ch1)","Always a string (even if user types numbers)"
"How do you convert a string to an integer? (Ch1)","int('42') → 42"
"How do you convert almost any value to a string? (Ch1)","str(42) → '42'  (useful for concatenation)"
"What does len() return? (Ch1)","Integer — number of characters in a string; len('hello') → 5"
"What are the two Boolean values? How are they written? (Ch2)","True and False (capitalized, no quotes)"
"List the six comparison operators (Ch2)","==  !=  <  >  <=  >="
"Does 42 == 42.0 evaluate to True or False? Why? (Ch2)","True — Python considers integer and equivalent float equal"
"Which Boolean operator returns True only if both sides are True? (Ch2)","and"
"Truth table summary for 'and' (Ch2)","True and True → True; anything else → False"
"Which operator returns True if at least one side is True? (Ch2)","or"
"What does the not operator do? (Ch2)","Inverts the Boolean: not True → False; not False → True"
"Order of Boolean operator precedence? (Ch2)","not → and → or"
"What must come after if/elif/while/for before the block? (Ch2)","A colon :"
"How does Python determine where a code block starts and ends? (Ch2)","Indentation level (increase starts block, decrease/return to previous ends it)"
"What happens in an if statement if the condition is False? (Ch2)","The if block is skipped entirely"
"Syntax of a basic if-else (Ch2)","if condition:\n    # code\nelse:\n    # code"
"What is an elif clause used for? (Ch2)","Alternative condition — checked only if previous if/elif were False"
"Only one of which clauses can exist in a chain: if, elif, else? (Ch2)","else (optional); if is required once; elif zero or more"
"What do break and continue do inside loops? (Ch2)","break → exit loop completely; continue → skip rest of current iteration, go to next"
"Syntax of while loop (Ch2)","while condition:\n    # code block"
"What does range(5) generate? (Ch2)","0, 1, 2, 3, 4"
"What sequence does range(2, 8) produce? (Ch2)","2, 3, 4, 5, 6, 7"
"How do you make range count by 2s: 0,2,4,6,8? (Ch2)","range(0, 9, 2)  or range(0, 10, 2)"
"Syntax of for loop (Ch2)","for variable in iterable:\n    # code"
"Typical way to loop 5 times with index (Ch2)","for i in range(5):\n    print(i)"
"Note: Chapter 3 in 3rd edition is actually about Loops (not Functions). It reinforces while/for, range, break/continue, and introduces importing modules + sys.exit()."
"Which function terminates the program immediately? (Ch2/Ch3)","sys.exit()  (after import sys)"
"Give example of using break to exit a loop early (Ch2/Ch3)","while True:\n    name = input('Enter name: ')\n    if name == 'done':\n        break"
"Give example of continue skipping even numbers (Ch2/Ch3)","for i in range(10):\n    if i % 2 == 0:\n        continue\n    print(i)  # prints only odds"
